Wikipedia page,Text,Links
Angular momentum diagrams (quantum mechanics),"In quantum mechanics, the angular momentum operator is one of several related operators analogous to classical angular momentum.",https://en.wikipedia.org/wiki/Angular_momentum_diagrams_(quantum_mechanics)
n-slit interferometric equation,"Quantum mechanics was first applied to optics, and interference in particular, by Paul Dirac.",https://en.wikipedia.org/wiki/n-slit_interferometric_equation
Quantum state,"In quantum physics, a quantum state is a mathematical entity that embodies the knowledge of a quantum system.",https://en.wikipedia.org/wiki/Quantum_state
Inner product space,"In mathematics, an inner product space (or, rarely, a Hausdorff pre-Hilbert space) is a real vector space or a complex vector space with an operation called an inner product.",https://en.wikipedia.org/wiki/Inner_product_space
SI Units,Exception occurred,https://en.wikipedia.org/wiki/International_System_of_Units
Scalar (physics),"In physics, scalars (or scalar quantities) are physical quantities that are unaffected by changes to a vector space basis (i.e., a coordinate system transformation).",https://en.wikipedia.org/wiki/Scalar_(physics)
Euclidean vector,"In mathematics, physics, and engineering, a Euclidean vector or simply a vector (sometimes called a geometric vector or spatial vector) is a geometric object that has magnitude (or length) and direction.",https://en.wikipedia.org/wiki/Euclidean_vector
Motion graphs and derivatives,"In mechanics, the derivative of the position vs.",https://en.wikipedia.org/wiki/Motion_graphs_and_derivatives
Pythagorean theorem,"In mathematics, the Pythagorean theorem or Pythagoras' theorem is a fundamental relation in Euclidean geometry between the three sides of a right triangle.",https://en.wikipedia.org/wiki/Pythagorean_theorem
Trigonometry,"Trigonometry (from Ancient Greek  τρίγωνον (trígōnon) 'triangle', and  μέτρον (métron) 'measure') is a branch of mathematics concerned with relationships between  angles and ratios of lengths.",https://en.wikipedia.org/wiki/Trigonometry
Motion,Exception occurred,https://en.wikipedia.org/wiki/Motion
Force,Exception occurred,https://en.wikipedia.org/wiki/Force
Linear motion,"Linear motion, also called rectilinear motion, is one-dimensional motion along a straight line, and can therefore be described mathematically using only one spatial dimension.",https://en.wikipedia.org/wiki/Linear_motion
Displacement,Exception occurred,https://en.wikipedia.org/wiki/Displacement_(geometry)
Speed,Exception occurred,https://en.wikipedia.org/wiki/Speed
Velocity,Velocity is the speed in combination with the direction of motion of an object.,https://en.wikipedia.org/wiki/Velocity
Acceleration,"In mechanics, acceleration is the rate of change of the velocity of an object with respect to time.",https://en.wikipedia.org/wiki/Acceleration
Center of mass,"In physics, the center of mass of a distribution of mass in space (sometimes referred to as the barycenter or balance point) is the unique point at any given time where the weighted relative position of the distributed mass sums to zero.",https://en.wikipedia.org/wiki/Center_of_mass
Mass,"A map is a symbolic depiction emphasizing relationships between elements of some space, such as objects, regions, or themes.",https://en.wikipedia.org/wiki/Mass
Momentum,Exception occurred,https://en.wikipedia.org/wiki/Momentum
Newton's laws of motion,Newton's laws of motion are three basic laws of classical mechanics that describe the relationship between the motion of an object and the forces acting on it.,https://en.wikipedia.org/wiki/Newton%27s_laws_of_motion
Work (physics),"In physics, work is the energy transferred to or from an object via the application of force along a displacement.",https://en.wikipedia.org/wiki/Work_(physics)
Free body diagram,"In physics and engineering, a free body diagram (FBD; also called a force diagram) is a graphical illustration used to visualize the applied forces, moments, and resulting reactions on a body in a given condition.",https://en.wikipedia.org/wiki/Free_body_diagram
Angular momentum,"In physics, angular momentum (sometimes called moment of momentum or rotational momentum) is the rotational analog of linear momentum.",https://en.wikipedia.org/wiki/Angular_momentum
Introduction,Exception occurred,https://en.wikipedia.org/wiki/Introduction_to_angular_momentum
Angular velocity,"In physics, angular velocity (symbol ω or






              ω
              →





    {\displaystyle {\vec {\omega }}}
  , the lowercase Greek letter omega), also known as angular frequency vector, is a pseudovector representation of how the angular position or orientation of an object changes with time, i.e.",https://en.wikipedia.org/wiki/Angular_velocity
Centrifugal force,"In Newtonian mechanics, the centrifugal force is an inertial force (also called a ""fictitious"" or ""pseudo"" force) that appears to act on all objects when viewed in a rotating frame of reference.",https://en.wikipedia.org/wiki/Centrifugal_force
Centripetal force,"A centripetal force (from Latin centrum, ""center"" and petere, ""to seek"") is a force that makes a body follow a curved path.",https://en.wikipedia.org/wiki/Centripetal_force
Circular motion,"In physics, circular motion is a movement of an object along the circumference of a circle or rotation along a circular arc.",https://en.wikipedia.org/wiki/Circular_motion
Tangential velocity,"Tangential speed is the speed of an object undergoing circular motion, i.e., moving along a circular path.",https://en.wikipedia.org/wiki/Tangential_velocity
Torque,"Torture is the deliberate infliction of severe pain or suffering on a person for reasons such as punishment, extracting a confession, interrogation for information, or intimidating third parties.",https://en.wikipedia.org/wiki/Torque
Energy,Exception occurred,https://en.wikipedia.org/wiki/Energy
Conservation of energy,"In physics and chemistry, the law of conservation of energy states that the total energy of an isolated system remains constant; it is said to be conserved over time.",https://en.wikipedia.org/wiki/Conservation_of_energy
Elastic collision,"In physics, an elastic collision is an encounter (collision) between two bodies  in which the total kinetic energy of the two bodies remains the same.",https://en.wikipedia.org/wiki/Elastic_collision
